"gene","logFC","logCPM","PValue","FDR"
"BMP2|650",1.7792859767577,0.949245532310226,1.44883624779659e-15,9.53445699992294e-14
"RPLP0P2|113157",1.55906959300255,1.34559592729087,1.47360806758212e-15,9.6562087798711e-14
"XYLT1|64131",1.6746467594604,2.93402263677859,1.48927965817386e-15,9.71754976958445e-14
"TAP2|6891",-1.0697439207847,6.81168670149966,1.49724976636952e-15,9.72833297566426e-14
"HSPG2|3339",1.04475872122853,8.98657105920829,1.66563437482941e-15,1.07769343436967e-13
"MARVELD1|83742",0.97219654100288,6.18002940357089,1.78032909520213e-15,1.14708316891287e-13
"COL4A1|1282",0.968519621157059,8.13736263255798,1.87982138899439e-15,1.20614039871353e-13
"CLDN11|5010",1.5740225146872,4.15020109568099,2.17561147228874e-15,1.39013448389105e-13
"TCF7L1|83439",1.45210449185533,5.09282082279185,2.22460832164109e-15,1.41556791508062e-13
"RAB31|11031",0.836632780446874,5.98835581192367,2.28167978692804e-15,1.44590893164218e-13
"PLXDC1|57125",1.18015230290419,3.76439626058405,2.33247055740962e-15,1.47203746367011e-13
"GPC1|2817",1.03140054168076,6.93626807996448,2.40201180793366e-15,1.50973795226002e-13
"FAM38B|63895",2.11970099744788,1.75540021458773,2.45110785135059e-15,1.53433373182714e-13
"HSPB7|27129",1.74158729217072,2.22762533270899,2.5590352727684e-15,1.59540826580407e-13
"CXCL10|3627",-1.82019741300681,6.39123221833571,2.65462821585152e-15,1.64790464462914e-13
"PLIN1|5346",2.76733170134376,1.96841970783801,2.66464222685016e-15,1.64790464462914e-13
"GEM|2669",1.43518359109369,2.62260894275559,2.71364584516479e-15,1.6714972947877e-13
"HAND2|9464",1.90909260792738,1.52188290418152,2.92310586815962e-15,1.79334291887609e-13
"OMD|4958",2.46162398151373,1.96571363485514,3.08063747523836e-15,1.88248954290459e-13
"WISP2|8839",2.31404133916085,1.92723309518452,3.28078622785781e-15,1.99687063726412e-13
"IRF1|3659",-1.05986692156254,6.67194106706645,3.53554874591477e-15,2.14346122591896e-13
"CXCR2P1|3580",-2.07187514888682,2.15303782211969,3.72040218871225e-15,2.24668522760705e-13
"EDIL3|10085",1.74843708038588,2.7779889177177,4.3376329349239e-15,2.60918787362864e-13
"ELN|2006",1.74900768116029,5.61653714138541,4.45264239554321e-15,2.66794709139961e-13
"ENOX1|55068",1.63616884197974,0.966024762442558,4.72293809112303e-15,2.81893502578308e-13
"ASPN|54829",2.24797828378324,2.8244832525439,4.82362662650202e-15,2.86791607805037e-13
"TMEM158|25907",1.63248916287455,4.06967191027785,5.07492092869154e-15,3.00571951465081e-13
"PLIN4|729359",1.74187994007285,3.50245585693165,5.35458432099326e-15,3.15920474938602e-13
"FGF7|2252",1.71251310955658,2.2684269074415,5.58339511851173e-15,3.28162982557107e-13
"ALPK2|115701",2.07338051056324,1.76040590640021,5.7131255055481e-15,3.34511101368575e-13
"IFFO2|126917",1.19475399059159,3.69800784844342,5.91341940463421e-15,3.44927065954402e-13
"F2R|2149",1.06371269137157,5.23791701015446,7.06267644865078e-15,4.10408130689711e-13
"ZFHX4|79776",1.93271546481292,2.89102948058235,7.36250012912714e-15,4.26222328903868e-13
"CXCL12|6387",1.61703699512367,6.34381926311227,7.87356708817278e-15,4.5410134678192e-13
"HLA-F|3134",-1.26278145031005,5.60775436701383,8.39124006151988e-15,4.82151886967704e-13
"TMEM200A|114801",1.24705674378265,2.75264128249965,8.55694425449707e-15,4.89845295817845e-13
"GREM2|64388",1.93417536956692,-0.227967479816871,8.73664689900965e-15,4.98280094806851e-13
"CYP2J2|1573",-1.47838848357153,2.68574196154846,9.740223130284e-15,5.53467512853296e-13
"HTRA3|94031",1.53130011414635,4.66270615071263,9.88383046907663e-15,5.59562887475408e-13
"CYTH3|9265",0.745731402275063,5.36924346064428,9.99031095317076e-15,5.6351940794094e-13
"FLRT2|23768",1.63901761116129,4.02008860782559,1.05426030926988e-14,5.92501989140396e-13
"PCDHGA5|56110",1.6915522458183,0.199664960882612,1.10799122080837e-14,6.2043479306284e-13
"GPR176|11245",1.3282167637501,1.83591311288737,1.16838759129645e-14,6.51884076752682e-13
"NID2|22795",1.41112362903578,5.08731852753342,1.2629567367027e-14,7.0210363857346e-13
"RECK|8434",0.892454034559989,3.05198184258711,1.35073555014203e-14,7.48200602037306e-13
"CLEC3B|7123",1.62152786446598,1.53385155294642,1.4009940684952e-14,7.73258339095253e-13
"ENPP1|5167",1.45920673738001,3.63571221539892,1.44180297641665e-14,7.91074228375572e-13
"PI15|51050",2.41297504483274,1.93929674013029,1.44354736134512e-14,7.91074228375572e-13
